sku,price,special_price,weight,ups,shipping_cost
"RCP6337BLU","39.0000","27.3000","0.9590","Y","3.9572",
"RCP3331CLE","23.0700","8.9000","1.1020","Y","2.9991",
"RCP2890BLA","175.7100","123.0000","3.4000","Y","17.7125",
"RCP315488BLA","30.4400","11.7396","1.0460","Y","3.9572",
"RCP3362GRA","28.2100","10.8864","1.0000","Y","3.6673",
"RCP421388BLA","156.7100","60.4692","4.6290","Y","20.3723",
"RCP452010Bla","1110.0800","420.3854","66.2600","Y","122.1088",
"RHP7085","97.2900","68.1000","37.0000","N","",
"RCP1025BLA","4696.3800","1778.5210","212.0000","N","516.6018",
"RCP1315BLU","2720.0000","1904.0000","0.0000","N","",
"RCP1315RED","2531.9600","958.8548","109.0000","N","278.5156",
"RCP4094GRA","1020.9600","386.6350","55.0000","Y","112.3056",
"RCPQ424GRE","450.0000","315.0000","2.4996","Y","",
"RCP6287YEL","574.2900","402.0000","27.5000","Y","",
"RCP6181L2","26.1400","18.3000","0.1480","Y","1.6562",
"RCP1855BLA","313.8200","118.8578","13.3970","Y","34.5202",
"RCP3526GRA","120.0000","84.0000","10.1000","Y","",
"RCP3526RED","120.0000","84.0000","10.1000","Y","",
"RCP3546BEI","183.2100","128.2500","8.2000","Y","",
"RCP571873BLU","88.5000","61.9500","5.0600","Y","",
"RCP571873GRE","418.6800","158.5760","29.9000","Y","46.0548",
"RCP6304CLE","25.9300","18.1500","0.7500","Y","2.5428",
"RCP816088BLA","492.8600","345.0000","16.8000","Y","",
"RCPF51812WHI","192.3300","74.2700","1.7300","Y","25.0029",
"RCPH225","38.6600","14.9100","1.0290","Y","5.0258",
"RCPJ157","86.5700","60.6000","1.7000","Y","",
"RCPJ853","539.7700","204.4100","0.9700","Y","59.3747",
"RCPQ701BLA","23.1400","16.2000","0.1000","Y","",
"RCP1000E","169.6300","65.4588","7.0000","Y","22.0519",
"RCP1011BLA","1555.5500","589.0950","45.8800","N","171.1105",
"RCP1011L2","27.4500","15.3252","1.0150","Y","3.5685",
"RCP1013BLA","1830.3000","693.1340","99.0000","N","201.3330",
"RCP102542BLA","5142.2600","3599.5800","212.0000","N","",
"RCP1026BLA","5216.1500","2378.1206","0.0000","N","573.7765",
"RCP1027BLA","1158.3500","438.6704","32.8040","N","127.4185",
"RCP1028BLA","447.4000","169.4304","19.2000","N","49.2140",
"RCP1035BLA","5531.7300","2094.8886","215.0000","N","608.4903",
"RCP105943BLA","4793.0000","3355.1000","230.0000","N","",
"RCP105PCLE","11.0100","4.2444","0.4500","Y","1.4313",
"RCP106PCLE","15.1300","5.8320","1.0000","Y","1.9669",
"RCP108P23CLE","10.6300","4.1040","0.1830","Y","1.3819",
"RCP108P86CLE","10.6300","4.1040","0.2000","Y","1.3819",
"RCP117PCLE","17.8600","6.8904","0.8000","Y","2.3218",
"RCP118PCLE","20.2700","7.8192","1.0000","Y","2.6351",
"RCP119201BLA","293.2200","128.7052","1.0000","Y","32.2542",
"RCP121P23CLE","10.6300","4.1040","0.4600","Y","1.3819",
"RCP124PCLE","19.9000","7.6788","1.2000","Y","2.5870",
"RCP1304BLA","1369.9500","548.2956","59.0000","N","150.6945",
"RCP1305BLA","1967.6600","745.1588","77.0000","N","216.4426",
"RCP1305RED","1967.6600","846.6220","0.0000","N","216.4426",
